question_identifiant;wording;answer_number;answer_value
2022101;Bazil Détective Privé;1;1
2022101;Dumbo;2;0
2022101;Bernard et Bianca;3;0
2022101;Merlin l'Enchanteur;4;0
2022102;marcher sur un fil suspendu dans le vide;5;0
2022102;se balancer de trapèze en trapèze;6;0
2022102;sauter du haut du chapiteau dans un baquet d'eau;7;1
2022102;dompter les lions;8;0
2022103;Virus;9;0
2022103;Symptôme;10;0
2022103;Microbe;11;0
2022103;Syndrome;12;1
2022104;un mouton;13;0
2022104;une chèvre;14;0
2022104;une brebis;15;1
2022104;un agneau;16;0
2022105;La Princesse et La Grenouille;17;0
2022105;Tarzan;18;1
2022105;Pocahontas;19;0
2022105;Vaiana, la légende du bout du monde;20;0
2022106;Claude Frolo;21;0
2022106;Claude Frollo;22;1
2022106;Claude Frolho;23;0
2022106;Claude Frohlo;24;0
2022107;Maléfique;25;1
2022107;Malfaisante;26;0
2022107;Mauvaise;27;0
2022107;Méchante;28;0
2022108;Anna et Elsa;29;0
2022108;Javotte et Anastasia;30;1
2022108;Ella et Lucette;31;0
2022108; Aurore et Alice;32;0
2022109; le père de Simba;33;0
2022109; le cousin de Simba;34;0
2022109; le frère de Simba;35;0
2022109; l'oncle de Simba;36;1
20221010; croquée par un crocodile;37;1
20221010; dévorée par un requin;38;0
20221010; engloutie par une baleine;39;0
20221010; dégustée par un pirate ;40;0
20221011; Madame de Tremaine;41;0
20221011; Cruella d'Enfer;42;1
20221011; Madame Médusa;43;0
20221011; Maléfique;44;0
20221012; une raie;45;0
20221012; une langouste;46;0
20221012; une pieuvre;47;1
20221012; une orque;48;0
20221013; Patibulaire;49;1
20221013; Pat Hibulaire;50;0
20221013; Patti Bulaire;51;0
20221014; Monstres & Cie;52;1
20221014; Toy Story;53;0
20221014; Zootopie;54;0
20221015; Toy Story 1;55;0
20221015; Toy Story 2;56;0
20221015; Toy Story 3;57;1
20221016; Mère Gotel;58;0
20221016; Mère Gothel;59;1
20221016; Mère Gothelle;60;0
20221017; majordome;61;1
20221017; cuisinier;62;0
20221017; palefrenier;63;0
20221018; l'état de Californie;64;0
20221018; l'état du Missouri;65;0
20221018; l'état de Virginie;66;1
20221019; vrai;67;1
20221019; faux;68;0
20221020; vrai;69;1
20221020; faux;70;0
20221021; vrai;71;0
20221021; faux;72;1
20221022; vrai;73;0
20221022; faux;74;1
20221023; vrai;75;1
20221023; faux;76;0
20221024; vrai;77;0
20221024; faux;78;1
20221025; La Belle et le Clochard;79;1
20221025; Les Aristochats;80;0
20221025; Cendrillon;81;0
20221026; Le Livre de la Jungle;82;0
20221026; Robin des bois;83;1
20221026; Merlin l'enchanteur;84;0
20221027; Le Bossu de Notre Dame;85;0
20221027; Alice au Pays des Merveilles;86;0
20221027; La Princesse et La Grenouille;87;1
20221028; La Belle et La Bête;88;1
20221028; Le Livre de la Jungle;89;0
20221028; Le Bossu de Notre Dame;90;0
20221029; La Belle au Bois Dormant;91;0
20221029; Alice au Pays des Merveilles;92;1
20221029; Cendrillon;93;0
20221030; Alice au Pays des Merveilles;94;0
20221030; Le Livre de la Jungle;95;0
20221030; Aladdin;96;1
